Disaster_Type,Country,Subregion,Region,Start Date,End Date
Epidemic,Yemen,Western Asia,Asia,2000-09-10,2000-10-09
Storm,Yemen,Western Asia,Asia,2001-06-09,2001-06-09
Flood,Yemen,Western Asia,Asia,2001-07-26,2001-07-29
Storm,Yemen,Western Asia,Asia,2001-08-12,2001-08-12
Flood,Yemen,Western Asia,Asia,2002-04-11,2002-04-11
Flood,Yemen,Western Asia,Asia,2002-07-06,2002-07-08
Flood,Yemen,Western Asia,Asia,2002-07-24,2002-07-26
Flood,Yemen,Western Asia,Asia,2002-08-22,2002-09-06
Flood,Yemen,Western Asia,Asia,2003-06-19,2003-06-21
Flood,Yemen,Western Asia,Asia,2005-04-25,2005-04-27
Epidemic,Yemen,Western Asia,Asia,2005-02-25,2005-12-06
Mass_movement_wet,Yemen,Western Asia,Asia,2005-12-28,2005-12-29
Flood,Yemen,Western Asia,Asia,2005-08-20,2005-08-21
Flood,Yemen,Western Asia,Asia,2006-02-20,2006-02-23
Flood,Yemen,Western Asia,Asia,2006-04-03,2006-04-05
Flood,Yemen,Western Asia,Asia,2007-01-01,2007-01-04
Flood,Yemen,Western Asia,Asia,2007-03-23,2007-03-30
Flood,Yemen,Western Asia,Asia,2007-08-01,2007-08-27
Volcanic_activity,Yemen,Western Asia,Asia,2007-09-30,2007-09-30
Flood,Yemen,Western Asia,Asia,2008-10-23,2008-10-24
Mass_movement_wet,Yemen,Western Asia,Asia,2009-08-27,2009-08-27
Flood,Yemen,Western Asia,Asia,2010-05-05,2010-05-05
Flood,Yemen,Western Asia,Asia,2010-07-10,2010-07-15
Flood,Yemen,Western Asia,Asia,2013-08-16,2013-08-17
Epidemic,Yemen,Western Asia,Asia,2015-03-27,2015-06-04
Storm,Yemen,Western Asia,Asia,2015-11-03,2015-11-04
Storm,Yemen,Western Asia,Asia,2015-11-08,2015-11-10
Flood,Yemen,Western Asia,Asia,2016-04-13,2016-04-14
Mass_movement_wet,Yemen,Western Asia,Asia,2016-05-22,2016-05-23
Epidemic,Yemen,Western Asia,Asia,2016-10-06,2017-01-11
Epidemic,Yemen,Western Asia,Asia,2017-04-27,2017-06-03
Flood,Yemen,Western Asia,Asia,2017-08-29,2017-08-30
Epidemic,Yemen,Western Asia,Asia,2017-10-29,2017-12-21
Storm,Yemen,Western Asia,Asia,2018-05-23,2018-05-23
Storm,Yemen,Western Asia,Asia,2018-10-14,2018-10-15
Epidemic,Yemen,Western Asia,Asia,2019-01-01,2019-07-05
Flood,Yemen,Western Asia,Asia,2019-06-11,2019-06-14
Flood,Yemen,Western Asia,Asia,2019-05-17,2019-05-27
Flood,Yemen,Western Asia,Asia,2019-07-31,2019-08-06
Epidemic,Yemen,Western Asia,Asia,2019-01-11,2019-12-19
Flood,Yemen,Western Asia,Asia,2020-03-25,2020-03-26
Flood,Yemen,Western Asia,Asia,2020-04-15,2020-04-30
Flood,Yemen,Western Asia,Asia,2020-06-03,2020-06-04
Flood,Yemen,Western Asia,Asia,2020-07-15,2020-08-18
Flood,Yemen,Western Asia,Asia,2021-05-01,2021-05-17
Flood,Yemen,Western Asia,Asia,2021-07-16,2021-08-07
Flood,Yemen,Western Asia,Asia,2022-06-15,2022-06-17
Flood,Yemen,Western Asia,Asia,2022-07-23,2022-08-05
Flood,Yemen,Western Asia,Asia,2022-08-03,2022-08-08
Flood,Yemen,Western Asia,Asia,2023-03-15,2023-09-17
Storm,Yemen,Western Asia,Asia,2023-10-23,2023-10-24
Flood,Yemen,Western Asia,Asia,2024-04-16,2024-05-07
Flood,Yemen,Western Asia,Asia,2024-07-28,2024-08-08
Flood,Yemen,Western Asia,Asia,2024-08-27,2024-08-29
