Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Zambia,Sub-Saharan Africa,Africa,2000-03-03,2000-03-04
Epidemic,Zambia,Sub-Saharan Africa,Africa,2000-03-11,2000-03-15
Epidemic,Zambia,Sub-Saharan Africa,Africa,2000-01-07,2000-01-15
Flood,Zambia,Sub-Saharan Africa,Africa,2001-02-12,2001-02-17
Epidemic,Zambia,Sub-Saharan Africa,Africa,2001-03-12,2001-03-15
Flood,Zambia,Sub-Saharan Africa,Africa,2003-03-11,2003-03-15
Flood,Zambia,Sub-Saharan Africa,Africa,2003-12-25,2003-12-25
Epidemic,Zambia,Sub-Saharan Africa,Africa,2003-12-04,2004-02-25
Flood,Zambia,Sub-Saharan Africa,Africa,2004-02-01,2004-06-02
Epidemic,Zambia,Sub-Saharan Africa,Africa,2005-08-13,2006-04-05
Flood,Zambia,Sub-Saharan Africa,Africa,2005-11-14,2005-11-18
Drought,Zambia,Sub-Saharan Africa,Africa,2005-06-01,2005-11-30
Epidemic,Zambia,Sub-Saharan Africa,Africa,2006-10-15,2006-11-15
Flood,Zambia,Sub-Saharan Africa,Africa,2007-01-10,2007-05-10
Flood,Zambia,Sub-Saharan Africa,Africa,2007-01-20,2007-03-10
Epidemic,Zambia,Sub-Saharan Africa,Africa,2007-02-13,2007-02-15
Flood,Zambia,Sub-Saharan Africa,Africa,2007-12-30,2008-02-27
Epidemic,Zambia,Sub-Saharan Africa,Africa,2008-09-10,2009-06-14
Flood,Zambia,Sub-Saharan Africa,Africa,2008-02-09,2008-05-01
Flood,Zambia,Sub-Saharan Africa,Africa,2009-02-27,2009-03-27
Epidemic,Zambia,Sub-Saharan Africa,Africa,2009-10-19,2010-04-08
Mass_movement_wet,Zambia,Sub-Saharan Africa,Africa,2010-02-22,2010-02-22
Flood,Zambia,Sub-Saharan Africa,Africa,2010-03-01,2010-03-17
Flood,Zambia,Sub-Saharan Africa,Africa,2011-03-13,2011-03-17
Epidemic,Zambia,Sub-Saharan Africa,Africa,2012-08-03,2012-08-27
Flood,Zambia,Sub-Saharan Africa,Africa,2013-01-12,2013-01-17
Flood,Zambia,Sub-Saharan Africa,Africa,2014-03-13,2014-05-17
Epidemic,Zambia,Sub-Saharan Africa,Africa,2017-09-28,2018-02-27
Flood,Zambia,Sub-Saharan Africa,Africa,2019-01-01,2019-01-31
Drought,Zambia,Sub-Saharan Africa,Africa,2019-05-01,2020-12-23
Flood,Zambia,Sub-Saharan Africa,Africa,2020-01-12,2020-01-17
Flood,Zambia,Sub-Saharan Africa,Africa,2020-03-20,2020-03-26
Flood,Zambia,Sub-Saharan Africa,Africa,2020-12-22,2020-12-26
Drought,Zambia,Sub-Saharan Africa,Africa,2021-07-01,2022-09-30
Flood,Zambia,Sub-Saharan Africa,Africa,2022-01-11,2022-02-02
Flood,Zambia,Sub-Saharan Africa,Africa,2023-01-11,2023-01-30
Epidemic,Zambia,Sub-Saharan Africa,Africa,2023-01-21,2023-01-30
Flood,Zambia,Sub-Saharan Africa,Africa,2023-02-07,2023-03-09
Epidemic,Zambia,Sub-Saharan Africa,Africa,2023-10-10,2024-06-15
Drought,Zambia,Sub-Saharan Africa,Africa,2024-02-01,2024-07-30
