Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Zimbabwe,Sub-Saharan Africa,Africa,2000-01-26,2000-03-27
Epidemic,Zimbabwe,Sub-Saharan Africa,Africa,2000-01-07,2000-01-15
Epidemic,Zimbabwe,Sub-Saharan Africa,Africa,2000-11-11,2000-11-14
Epidemic,Zimbabwe,Sub-Saharan Africa,Africa,2000-12-30,2000-12-30
Flood,Zimbabwe,Sub-Saharan Africa,Africa,2001-02-12,2001-02-17
Drought,Zimbabwe,Sub-Saharan Africa,Africa,2001-03-07,2003-08-26
Epidemic,Zimbabwe,Sub-Saharan Africa,Africa,2002-03-06,2002-03-06
Epidemic,Zimbabwe,Sub-Saharan Africa,Africa,2002-08-11,2002-08-15
Storm,Zimbabwe,Sub-Saharan Africa,Africa,2003-03-07,2003-03-07
Epidemic,Zimbabwe,Sub-Saharan Africa,Africa,2003-10-09,2003-12-14
Flood,Zimbabwe,Sub-Saharan Africa,Africa,2003-02-25,2003-02-28
Epidemic,Zimbabwe,Sub-Saharan Africa,Africa,2005-05-10,2005-06-15
Epidemic,Zimbabwe,Sub-Saharan Africa,Africa,2005-12-10,2006-05-18
Storm,Zimbabwe,Sub-Saharan Africa,Africa,2007-02-27,2007-02-27
Epidemic,Zimbabwe,Sub-Saharan Africa,Africa,2007-05-25,2008-02-15
Flood,Zimbabwe,Sub-Saharan Africa,Africa,2007-12-13,2007-12-22
Flood,Zimbabwe,Sub-Saharan Africa,Africa,2007-12-19,2008-01-02
Epidemic,Zimbabwe,Sub-Saharan Africa,Africa,2008-08-15,2009-07-23
Epidemic,Zimbabwe,Sub-Saharan Africa,Africa,2009-08-10,2009-11-22
Epidemic,Zimbabwe,Sub-Saharan Africa,Africa,2009-10-13,2010-02-15
Flood,Zimbabwe,Sub-Saharan Africa,Africa,2010-03-04,2010-03-04
Epidemic,Zimbabwe,Sub-Saharan Africa,Africa,2010-02-04,2010-03-14
Epidemic,Zimbabwe,Sub-Saharan Africa,Africa,2010-01-01,2010-03-14
Drought,Zimbabwe,Sub-Saharan Africa,Africa,2010-05-01,2013-10-23
Flood,Zimbabwe,Sub-Saharan Africa,Africa,2011-03-13,2011-03-17
Epidemic,Zimbabwe,Sub-Saharan Africa,Africa,2011-01-01,2011-07-17
Flood,Zimbabwe,Sub-Saharan Africa,Africa,2013-01-12,2013-01-17
Drought,Zimbabwe,Sub-Saharan Africa,Africa,2013-01-01,2017-01-31
Flood,Zimbabwe,Sub-Saharan Africa,Africa,2014-01-20,2014-02-10
Flood,Zimbabwe,Sub-Saharan Africa,Africa,2014-12-12,2015-01-22
Epidemic,Zimbabwe,Sub-Saharan Africa,Africa,2015-02-13,2015-02-15
Storm,Zimbabwe,Sub-Saharan Africa,Africa,2015-01-02,2015-01-04
Storm,Zimbabwe,Sub-Saharan Africa,Africa,2016-12-09,2016-12-14
Storm,Zimbabwe,Sub-Saharan Africa,Africa,2017-01-15,2017-03-16
Drought,Zimbabwe,Sub-Saharan Africa,Africa,2017-02-01,2020-03-30
Epidemic,Zimbabwe,Sub-Saharan Africa,Africa,2018-08-07,2018-11-16
Epidemic,Zimbabwe,Sub-Saharan Africa,Africa,2018-09-05,2019-03-12
Flood,Zimbabwe,Sub-Saharan Africa,Africa,2019-02-11,2019-02-18
Storm,Zimbabwe,Sub-Saharan Africa,Africa,2019-03-14,2019-03-14
Storm,Zimbabwe,Sub-Saharan Africa,Africa,2021-01-23,2021-01-23
Drought,Zimbabwe,Sub-Saharan Africa,Africa,2021-08-01,2022-02-28
Flood,Zimbabwe,Sub-Saharan Africa,Africa,2022-01-13,2022-01-21
Storm,Zimbabwe,Sub-Saharan Africa,Africa,2022-01-25,2022-01-25
Epidemic,Zimbabwe,Sub-Saharan Africa,Africa,2022-04-11,2022-11-16
Storm,Zimbabwe,Sub-Saharan Africa,Africa,2023-02-24,2023-03-08
Epidemic,Zimbabwe,Sub-Saharan Africa,Africa,2023-02-12,2024-06-30
Drought,Zimbabwe,Sub-Saharan Africa,Africa,2024-04-01,2024-09-26
