disaster_type,country,subregion,region,start year,start month,start day,end year,end month,end day
Animal incident,Niger,Sub-Saharan Africa,Africa,2014,11,17,2014,11,17
Drought,Djibouti,Sub-Saharan Africa,Africa,2001,6,,2001,,
Drought,Sudan,Northern Africa,Africa,2000,1,,2001,,
Drought,Somalia,Sub-Saharan Africa,Africa,2000,1,,2001,,
Drought,Jamaica,Latin America and the Caribbean,Americas,2000,3,,2000,,
Drought,Cyprus,Western Asia,Asia,2000,3,,2000,,
Drought,Afghanistan,Southern Asia,Asia,2000,5,,2002,,
Drought,Tajikistan,Central Asia,Asia,2000,5,,2001,,
Drought,India,Southern Asia,Asia,2000,4,,2001,,
Drought,China,Eastern Asia,Asia,2000,4,,2000,,
Drought,Madagascar,Sub-Saharan Africa,Africa,2000,6,,2000,,
Drought,Moldova,Eastern Europe,Europe,2000,5,,2000,6,
Drought,Jordan,Western Asia,Asia,2000,8,,2000,,
Drought,Romania,Eastern Europe,Europe,2000,6,,2000,,
Drought,United States,Northern America,Americas,2000,6,,2002,,
Drought,Uzbekistan,Central Asia,Asia,2000,8,,2001,8,
Drought,Armenia,Western Asia,Asia,2000,6,,2000,,
Drought,Azerbaijan,Western Asia,Asia,2000,10,,2000,,
Drought,Georgia,Western Asia,Asia,2000,8,,2001,,
Drought,Cuba,Latin America and the Caribbean,Americas,2000,8,,2001,,
Drought,China,Eastern Asia,Asia,2000,8,,2000,,
Drought,Bosnia and Herzegovina,Southern Europe,Europe,2000,8,,2000,,
Drought,Mongolia,Eastern Asia,Asia,2000,2,,2002,,
Drought,China,Eastern Asia,Asia,2000,9,,2000,,
Drought,United States,Northern America,Americas,2000,11,,2000,,
Drought,Bulgaria,Eastern Europe,Europe,2000,3,,2001,,
Drought,Honduras,Latin America and the Caribbean,Americas,2000,7,,2000,,
Drought,Nicaragua,Latin America and the Caribbean,Americas,2000,7,,2000,,
Drought,Bolivia,Latin America and the Caribbean,Americas,2000,4,,2000,,
Drought,Burkina Faso,Sub-Saharan Africa,Africa,2001,4,,2001,,
Drought,Mali,Sub-Saharan Africa,Africa,2001,4,,2001,,
Drought,Niger,Sub-Saharan Africa,Africa,2001,4,,2002,,
Drought,Chad,Sub-Saharan Africa,Africa,2001,1,,2001,,
Drought,Mozambique,Sub-Saharan Africa,Africa,2001,1,,2001,,
Drought,Cameroon,Sub-Saharan Africa,Africa,2001,1,,2001,,
Drought,Mozambique,Sub-Saharan Africa,Africa,2002,3,,2002,,
Drought,Eswatini,Sub-Saharan Africa,Africa,2001,,,2004,,
Drought,Zimbabwe,Sub-Saharan Africa,Africa,2001,3,,2003,,
Drought,China,Eastern Asia,Asia,2001,2,,2001,,
Drought,Angola,Sub-Saharan Africa,Africa,2001,1,,2001,,
Drought,China,Eastern Asia,Asia,2001,3,,2001,,
Drought,Guatemala,Latin America and the Caribbean,Americas,2001,9,,2001,,
Drought,Honduras,Latin America and the Caribbean,Americas,2001,7,,2004,,
Drought,Nicaragua,Latin America and the Caribbean,Americas,2001,8,,2001,,
Drought,El Salvador,Latin America and the Caribbean,Americas,2001,5,,2001,,
Drought,Brazil,Latin America and the Caribbean,Americas,2001,6,,2001,,
Drought,North Korea,Eastern Asia,Asia,2001,6,,2001,,
Drought,Mauritania,Sub-Saharan Africa,Africa,2001,4,,2003,,
Drought,Sri Lanka,Southern Asia,Asia,2001,9,,2002,,
Drought,Cambodia,South-eastern Asia,Asia,2001,9,,2001,,
Drought,Namibia,Sub-Saharan Africa,Africa,2001,1,,2001,,
Drought,Namibia,Sub-Saharan Africa,Africa,2002,7,,2003,,
