disaster_type,country,subregion,region,start date,end date
Animal incident,Niger,Sub-Saharan Africa,Africa,2014-11-17,2014-11-17
Drought,Jamaica,Latin America and the Caribbean,Americas,2000-03-14,2000-08-31
Drought,China,Eastern Asia,Asia,2000-04-07,2000-07-31
Drought,Romania,Eastern Europe,Europe,2000-06-01,2000-08-31
Drought,Cuba,Latin America and the Caribbean,Americas,2000-08-14,2001-08-31
Drought,China,Eastern Asia,Asia,2000-08-07,2000-05-30
Drought,Mongolia,Eastern Asia,Asia,2000-02-07,2002-07-31
Drought,China,Eastern Asia,Asia,2000-09-07,2000-05-30
Drought,Honduras,Latin America and the Caribbean,Americas,2000-07-14,2000-08-31
Drought,Nicaragua,Latin America and the Caribbean,Americas,2000-07-14,2000-08-31
Drought,Bolivia,Latin America and the Caribbean,Americas,2000-04-14,2000-07-31
Drought,China,Eastern Asia,Asia,2001-02-07,2001-07-31
Drought,China,Eastern Asia,Asia,2001-03-07,2001-07-31
Drought,Guatemala,Latin America and the Caribbean,Americas,2001-09-14,2001-08-31
Drought,Honduras,Latin America and the Caribbean,Americas,2001-07-14,2004-08-31
Drought,Nicaragua,Latin America and the Caribbean,Americas,2001-08-14,2001-08-31
Drought,Brazil,Latin America and the Caribbean,Americas,2001-06-14,2001-08-31
Drought,North Korea,Eastern Asia,Asia,2001-06-07,2001-07-30
Drought,China,Eastern Asia,Asia,2002-04-07,2002-07-31
Drought,Mexico,Latin America and the Caribbean,Americas,2002-04-14,2002-07-31
Drought,China,Eastern Asia,Asia,2002-09-07,2002-05-30
Drought,Brazil,Latin America and the Caribbean,Americas,2002-09-14,2002-08-31
Drought,Peru,Latin America and the Caribbean,Americas,2002-03-14,2002-08-31
Drought,China,Eastern Asia,Asia,2002-06-01,2002-10-30
Drought,China,Eastern Asia,Asia,2003-07-07,2003-05-30
Drought,Hungary,Eastern Europe,Europe,2003-07-01,2003-08-31
Drought,Cuba,Latin America and the Caribbean,Americas,2004-08-14,2004-08-31
Drought,Honduras,Latin America and the Caribbean,Americas,2004-07-14,2004-08-31
Drought,Bolivia,Latin America and the Caribbean,Americas,2004-10-14,2005-03-31
Drought,Brazil,Latin America and the Caribbean,Americas,2004-12-14,2005-03-31
Drought,Brazil,Latin America and the Caribbean,Americas,2005-10-14,2005-10-31
Drought,Madagascar,Sub-Saharan Africa,Africa,2005-11-01,2006-12-27
Drought,Paraguay,Latin America and the Caribbean,Americas,2005-10-14,2005-03-31
Drought,China,Eastern Asia,Asia,2005-10-07,2005-05-30
Drought,China,Eastern Asia,Asia,2005-07-07,2005-05-30
Drought,China,Eastern Asia,Asia,2006-05-01,2006-09-10
Drought,Brazil,Latin America and the Caribbean,Americas,2007-10-14,2007-03-31
Drought,Paraguay,Latin America and the Caribbean,Americas,2008-09-14,2008-08-31
Drought,Bolivia,Latin America and the Caribbean,Americas,2008-12-14,2009-03-31
Drought,China,Eastern Asia,Asia,2009-06-07,2009-07-30
Drought,Guatemala,Latin America and the Caribbean,Americas,2009-03-07,2009-12-31
Drought,China,Eastern Asia,Asia,2009-10-07,2010-05-30
Drought,Russia,Eastern Europe,Europe,2010-04-01,2010-08-20
Drought,Brazil,Latin America and the Caribbean,Americas,2010-10-14,2010-03-31
Drought,China,Eastern Asia,Asia,2010-12-07,2011-05-30
Drought,Mexico,Latin America and the Caribbean,Americas,2011-09-07,2011-12-31
Drought,South Korea,Eastern Asia,Asia,2012-04-07,2012-07-31
Drought,Italy,Southern Europe,Europe,2012-06-01,2012-10-10
Drought,Guatemala,Latin America and the Caribbean,Americas,2012-06-14,2012-08-31
Drought,Russia,Eastern Europe,Europe,2012-06-01,2012-08-31
Drought,United States,Northern America,Americas,2012-06-01,2012-12-31
Drought,Ukraine,Eastern Europe,Europe,2012-04-15,2012-07-31
